"Rewired version: 1.1.3.0"
"Editor Controller Name","Controller Name","Controller GUID","Element Identifier Id","Element Identifier Name","Element Identifier Type"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","0","Axis 0","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","1","Axis 1","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","2","Axis 2","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","3","Axis 3","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","4","Axis 4","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","5","Axis 5","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","6","Axis 6","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","7","Axis 7","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","8","Axis 8","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","9","Axis 9","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","10","Axis 10","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","11","Axis 11","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","12","Axis 12","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","13","Axis 13","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","14","Axis 14","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","15","Axis 15","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","16","Axis 16","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","17","Axis 17","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","18","Axis 18","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","19","Axis 19","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","20","Axis 20","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","21","Axis 21","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","22","Axis 22","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","23","Axis 23","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","24","Axis 24","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","25","Axis 25","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","26","Axis 26","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","27","Axis 27","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","28","Axis 28","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","29","Axis 29","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","30","Axis 30","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","31","Axis 31","0"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","32","Button 0","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","33","Button 1","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","34","Button 2","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","35","Button 3","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","36","Button 4","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","37","Button 5","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","38","Button 6","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","39","Button 7","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","40","Button 8","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","41","Button 9","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","42","Button 10","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","43","Button 11","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","44","Button 12","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","45","Button 13","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","46","Button 14","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","47","Button 15","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","48","Button 16","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","49","Button 17","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","50","Button 18","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","51","Button 19","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","52","Button 20","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","53","Button 21","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","54","Button 22","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","55","Button 23","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","56","Button 24","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","57","Button 25","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","58","Button 26","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","59","Button 27","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","60","Button 28","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","61","Button 29","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","62","Button 30","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","63","Button 31","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","64","Button 32","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","65","Button 33","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","66","Button 34","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","67","Button 35","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","68","Button 36","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","69","Button 37","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","70","Button 38","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","71","Button 39","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","72","Button 40","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","73","Button 41","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","74","Button 42","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","75","Button 43","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","76","Button 44","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","77","Button 45","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","78","Button 46","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","79","Button 47","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","80","Button 48","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","81","Button 49","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","82","Button 50","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","83","Button 51","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","84","Button 52","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","85","Button 53","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","86","Button 54","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","87","Button 55","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","88","Button 56","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","89","Button 57","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","90","Button 58","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","91","Button 59","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","92","Button 60","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","93","Button 61","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","94","Button 62","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","95","Button 63","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","96","Button 64","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","97","Button 65","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","98","Button 66","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","99","Button 67","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","100","Button 68","1"
